Open,High,Low,Close,Adj Close,Volume
1.836,1.838,1.776667,1.785333,1.660334,6859500
1.742,1.793333,1.726667,1.753333,1.630574,4804500
1.751333,1.811333,1.706667,1.806667,1.680174,7842000
1.778667,1.786667,1.704667,1.722,1.601435,4113000
1.772667,1.796667,1.730667,1.748,1.625615,5931000
1.776,1.824667,1.745333,1.745333,1.623134,4776000
1.752,1.770667,1.672,1.74,1.618175,6948000
1.774667,1.861333,1.77,1.858667,1.728533,8346000
1.808667,1.822,1.758,1.813333,1.686373,7392000
1.817333,1.817333,1.763333,1.764667,1.641115,4174500
1.733333,1.782,1.733333,1.767333,1.643594,5779500
1.775333,1.784,1.680667,1.7,1.580975,7656000
1.69,1.774,1.686667,1.75,1.627475,6774000
1.751333,1.751333,1.695333,1.719333,1.598955,3598500
1.723333,1.774667,1.688,1.728667,1.607635,4846500
1.709333,1.740667,1.685333,1.697333,1.578495,3564000
1.736,1.812667,1.726,1.765333,1.641734,5229000
1.714667,1.828667,1.708667,1.822,1.694434,7045500
1.784,1.820667,1.664,1.675333,1.558035,8776500
1.660667,1.660667,1.506,1.546667,1.438378,10438500
1.552667,1.585333,1.521333,1.578667,1.468138,4453500
1.536667,1.554667,1.504,1.526,1.419158,4360500
1.486667,1.523333,1.457333,1.471333,1.368318,4780500
1.514,1.527333,1.468667,1.482667,1.378859,5563500
1.468667,1.489333,1.428667,1.488667,1.384439,3399000
1.494667,1.523333,1.471333,1.482,1.378238,3502500
1.497333,1.538667,1.470667,1.537333,1.429697,4980000
1.528,1.567333,1.520667,1.523333,1.416678,7488000
1.540667,1.543333,1.406667,1.442667,1.341659,8350500
1.448,1.494,1.446,1.46,1.357779,6027000
1.469333,1.559333,1.468,1.528,1.421018,8338500
1.526667,1.548667,1.486667,1.498,1.393118,4624500
1.469333,1.609333,1.469333,1.570667,1.460697,10564500
1.552,1.582667,1.502,1.54,1.432178,5457000
1.616,1.687333,1.601333,1.683333,1.565475,9211500
1.731333,1.765333,1.710667,1.72,1.599575,6511500
1.76,1.849333,1.75,1.844667,1.715513,9954000
1.873333,1.89,1.833333,1.877333,1.745893,10669500
1.898667,1.908,1.87,1.896,1.763252,4302000
1.896,1.94,1.896,1.930667,1.795492,3603000
1.946667,1.968,1.924,1.962,1.824632,4935000
1.962667,2.000667,1.935333,1.996,1.856251,4663500
1.974667,1.994667,1.957333,1.994667,1.855011,3682500
2.044,2.054,1.976667,2.013333,1.87237,4863000
2.025333,2.048667,1.986667,1.998,1.858111,4572000
2.024,2.067333,2.024,2.056667,1.912671,5604000
